tool	version	minos	type	bin	share	url_x86_64	sha256_x86_64	url_arm64	sha256_arm64
git	2.53.0	10.15	tar.gz	bin/git,bin/scalar	yes	https://github.com/desktop/dugite-native/releases/download/v2.53.0-4/dugite-native-v2.53.0-4098283-macOS-x64.tar.gz	ae6686718aa34f4140424db16b92a47dcffd6d1f312eb8b5f3b267f7404e2680	https://github.com/desktop/dugite-native/releases/download/v2.53.0-4/dugite-native-v2.53.0-4098283-macOS-arm64.tar.gz	f9dc64635a5b62fbd7ad95db73268bbb8912255ac516d65d37bf7af22fcb8ffe
neovim	0.10.4	11.0	tar.gz	bin/nvim	yes	https://github.com/neovim/neovim/releases/download/v0.10.4/nvim-macos-x86_64.tar.gz	c1405071127b59dbdefc31d9c52e9a5c36db67dcef6dcf83e898aada1f3f778e	https://github.com/neovim/neovim/releases/download/v0.10.4/nvim-macos-arm64.tar.gz	3d7b07ec9b491d2a3d55167bc1db1cfa96773a1a37e74ea384cb15ab0189223b
fzf	0.66.1	11.0	tar.gz	fzf	no	https://github.com/junegunn/fzf/releases/download/v0.66.1/fzf-0.66.1-darwin_amd64.tar.gz	655aeaa4ab44926ee1b712c95107ba486eb4a1137539200180c08d21f92fc7fa	https://github.com/junegunn/fzf/releases/download/v0.66.1/fzf-0.66.1-darwin_arm64.tar.gz	0f44db428cb65a0b646e99a506422a59f4b2fc3d3973b35387f78bba48c79c16
ripgrep	13.0.0	10.15	tar.gz	rg	no	https://github.com/BurntSushi/ripgrep/releases/download/13.0.0/ripgrep-13.0.0-x86_64-apple-darwin.tar.gz	585c18350cb8d4392461edd6c921e6edd5a97cbfc03b567d7bd440423e118082	https://github.com/BurntSushi/ripgrep/releases/download/14.1.1/ripgrep-14.1.1-aarch64-apple-darwin.tar.gz	24ad76777745fbff131c8fbc466742b011f925bfa4fffa2ded6def23b5b937be
bat	0.26.1	10.12	tar.gz	bat	no	https://github.com/sharkdp/bat/releases/download/v0.26.1/bat-v0.26.1-x86_64-apple-darwin.tar.gz	830d63b0bba1fa040542ec569e3cf77f60d3356b9de75116a344b061e0894245	https://github.com/sharkdp/bat/releases/download/v0.26.1/bat-v0.26.1-aarch64-apple-darwin.tar.gz	e30beff26779c9bf60bb541e1d79046250cb74378f2757f8eb250afddb19e114
fd	10.5.0	10.12	tar.gz	fd	no	https://github.com/sharkdp/fd/releases/download/v10.5.0/fd-v10.5.0-x86_64-apple-darwin.tar.gz	7e31028c62c6955877735d0406807aa484c2a5e6f86235a59e26c29c301da590	https://github.com/sharkdp/fd/releases/download/v10.5.0/fd-v10.5.0-aarch64-apple-darwin.tar.gz	b67e1836c468e42e411984b56e52fa7abec08c2bd22c867398e7cc134aac5e12
zoxide	0.10.0	10.12	tar.gz	zoxide	no	https://github.com/ajeetdsouza/zoxide/releases/download/v0.10.0/zoxide-0.10.0-x86_64-apple-darwin.tar.gz	18ab7ae2633ad6e2ab79a4e665cbba1e95b7c872d44523326efb793202451dad	https://github.com/ajeetdsouza/zoxide/releases/download/v0.10.0/zoxide-0.10.0-aarch64-apple-darwin.tar.gz	b55ae6f2f5f23d0a6ccb3bd4eeb2af9c7e0a6556e5255c82100e40305129bbb0
delta	0.18.2	10.7	tar.gz	delta	no	https://github.com/dandavison/delta/releases/download/0.18.2/delta-0.18.2-x86_64-apple-darwin.tar.gz	e9b5c4a9e73d2119c687e074f0d97f188e30e5fe8ae0e6d455755f74bb5cc0cf	https://github.com/dandavison/delta/releases/download/0.18.2/delta-0.18.2-aarch64-apple-darwin.tar.gz	6ba38dce9f91ee1b9a24aa4aede1db7195258fe176c3f8276ae2d4457d8170a0
yazi	26.9.1	10.12	zip	yazi,ya	yes	https://github.com/sxyazi/yazi/releases/download/v26.9.1/yazi-x86_64-apple-darwin.zip	36e09036fcc446488d876d139a5e303f2443b82cfb6ac7dfcb43892d6fe6fa20	https://github.com/sxyazi/yazi/releases/download/v26.9.1/yazi-aarch64-apple-darwin.zip	3921182a21cceb0a505e5dac578e1487d48104caa5f114e9f8adf40b5a7289a9
gh	2.68.0	11.0	zip	bin/gh	yes	https://github.com/cli/cli/releases/download/v2.68.0/gh_2.68.0_macOS_amd64.zip	7b97b7daf6b0235fbef9e6a3c5c43db5db8bd24f28beccf08c6ffd70e72839ab	https://github.com/cli/cli/releases/download/v2.68.0/gh_2.68.0_macOS_arm64.zip	b9d1bc00b9e771f174eead84c0f6b324eca4885ae04d47a0318871d3e0c2906f
