scope	capability	brew	apt	pacman	dnf
core	shell	-	zsh	zsh	zsh
core	editor	neovim	neovim	neovim	neovim
core	fuzzy-finder	fzf	fzf	fzf	fzf
core	directory-jump	zoxide	zoxide	zoxide	zoxide
core	enhanced-ls	eza	-	eza	-
core	file-viewer	bat	bat	bat	bat
core	text-search	ripgrep	ripgrep	ripgrep	ripgrep
core	file-find	fd	fd-find	fd	fd-find
core	git-diff	git-delta	git-delta	git-delta	-
core	manual-pages	tlrc	-	tealdeer	-
core	node-runtime	node	nodejs,npm	nodejs,npm	nodejs,npm
core	usb-tools	usbutils	-	usbutils	-
core	gnu-userland	coreutils	-	-	-
core	file-manager	yazi	-	yazi	-
core	hex-viewer	hexyl	hexyl	hexyl	-
core	system-info	fastfetch	-	fastfetch	-
core	archive	sevenzip	-	7zip	-
core	svg-renderer	resvg	-	resvg	-
core	metadata	exiftool	-	perl-image-exiftool	-
core	markdown	glow	-	glow	-
core	terminal-recorder	vhs	-	vhs	-
core	code-screenshot	charmbracelet/tap/freeze	-	-	-
core	ssh-directory	charmbracelet/tap/wishlist	-	wishlist	-
core	tree-sitter	tree-sitter-cli	-	tree-sitter-cli	-
core	lua-lsp	lua-language-server	-	lua-language-server	-
core	git	git	git	git	git
core	github-cli	gh	gh	github-cli	gh
core	http-client	-	curl	curl	curl
core	downloader	-	wget	wget	wget
core	json	-	-	jq	jq
core	command-not-found	-	-	pkgfile	-
core	terminal-ui	-	-	gum	-
best-effort	enhanced-ls	-	eza	-	eza
best-effort	manual-pages	-	tealdeer	-	tealdeer
best-effort	archive	-	7zip	-	p7zip,p7zip-plugins
best-effort	svg-renderer	-	resvg	-	resvg
best-effort	metadata	-	libimage-exiftool-perl	-	perl-Image-ExifTool
best-effort	apt-repositories	-	software-properties-common	-	-
best-effort	markdown	-	glow	-	glow
best-effort	git-diff	-	-	-	git-delta
best-effort	hex-viewer	-	-	-	hexyl
best-effort	file-manager	-	-	-	yazi
best-effort	system-info	-	-	-	fastfetch
best-effort	command-not-found	-	-	-	PackageKit-command-not-found
nvim-optional	bash-lsp	bash-language-server	-	-	-
nvim-optional	clojure-lsp	clojure-lsp/brew/clojure-lsp-native	-	-	-
nvim-optional	go-lsp	gopls	-	-	-
nvim-optional	shell-formatter	shfmt	-	-	-
nvim-optional	json	jq	-	-	-
